| #  | Tokens | Cost (USD)  |
| -- | ------ | ----------- |
| 1  | 591    | $0.00008865 |
| 2  | 513    | $0.00007695 |
| 3  | 53     | $0.00000795 |
| 4  | 935    | $0.00014025 |
| 5  | 639    | $0.00009585 |
| 6  | 347    | $0.00005205 |
| 7  | 248    | $0.00003720 |
| 8  | 187    | $0.00002805 |
| 9  | 242    | $0.00003630 |
| 10 | 663    | $0.00009945 |
| 11 | 201    | $0.00003015 |
| 12 | 947    | $0.00014205 |
| 13 | 548    | $0.00008220 |
| 14 | 589    | $0.00008835 |
| 15 | 470    | $0.00007050 |

Total tokens: 7,173
Total cost: $0.00107595
Average tokens/request: 478
Average cost/request: $0.0000717