query,split,raw_gold-text,num_gold_texts,num_retrieved,retrieved_docs,text_recall,text_precision,text_f1,num_gold_texts_matched,ctx_precision,ctx_recall,ctx_f1,chunk_overlap,min_chunk_overlap,max_chunk_overlap,chunk_overlap_count,bleu,text_supported@1,text_recall@1,text_supported@3,text_recall@3
Explain the importance of ImageNet in the works alexnet and googlenet.,multi,"('We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in the ImageNet LSVRC-2010 contest into the 1000 dif- ferent classes.', 'We propose a deep convolutional neural network architecture codenamed Incep- tion, which was responsible for setting the new state of the art for classiﬁcation and detection in the ImageNet Large-Scale Visual Recognition Challenge 2014 (ILSVRC14).')",2,3,"['and then use the same scaling coefﬁcients for all other models (step 2). 5. Experiments In this section, we will ﬁrst evaluate our scaling method on existing ConvNets and the new proposed EfﬁcientNets. 5.1. Scaling Up MobileNets and ResNets As a proof of concept, we ﬁrst apply our scaling method to the widely-used MobileNets (Howard et al., 2017; San- dler et al., 2018) and ResNet (He et al., 2016). Table 3 shows the ImageNet results of scaling them in different ways. Compared to other single-dimension scaling methods, our compound scaling method improves the accuracy on all these models, suggesting the', 'in the challenge with no external data used for training. In addition to the training techniques aforementioned in this paper, we adopted a set of techniques during testing to obtain a higher performance, which we elaborate below. 1. We independently trained 7 versions of the same GoogLeNet model (including one wider version), and performed ensemble prediction with them. These models were trained with the same initialization (even with the same initial weights, mainly because of an oversight) and learning rate policies, and they only differ in sampling methodologies and the random order in which they see input images. 2. During', 'better than the constructed solution (or unable to do so in feasible time). In this paper, we address the degradation problem by introducing a deep residual learning framework. In- stead of hoping each few stacked layers directly ﬁt a desired underlying mapping, we explicitly let these lay- ers ﬁt a residual mapping. Formally, denoting the desired underlying mapping as H(x), we let the stacked nonlinear layers ﬁt another mapping of F(x) :=H(x)\x00x. The orig- inal mapping is recast into F(x)+x. We hypothesize that it is easier to optimize the residual mapping than to optimize the original, unreferenced mapping. To the']",0.0,0.0,0.0,0,0.047619047619047616,0.5,0.08695652173913042,0.1357273036300329,0.06141732283464567,0.17363344051446947,3,3.5423071371884934e-07,0.0,0.0,0.0,0.0
How does auto-differentiation work in these frameworks?,single,"TensorFlow is an interface for expressing machine learning algorithms and an implementation for executing such algorithms •PyTorch  is a programming framework for tensor computation, deep learning, and auto differentiation 6Deep Learning Programming Framework7Aspect PyTorch TensorFlow JAX NumPy Primary Use Deep learning Deep learning numerical and ML computing numerical computing Programming Paradigm Dynamic (eager execution)Static (Graph mode, or Eager)Functional transformations Procedural Auto grad dynamic comp graphstatic comp graph Functional -based with grad/jit",1,3,"['operations are implemented in low- latency C++ code underneath a thin Python interface, we have maintained low overhead while ensuring compatibility with Python-based DL frameworks. The performance improvements inherent in mixing commu- nication backends are consistent with the ﬁndings of previous NCCL and MPI studies [37] and studies exploring the mixture of MPI with external runtimes in [20]. VIII. C ONCLUSION State-of-the-art deep learning (DL) models are pushing the boundaries of existing ﬁelds while pioneering entirely new areas of study. However, such DL models are often impossible or impractical to train on single processors or small-scale workstations. Further work in', '-level details (no need to write cuda ) oautomatic differentiation (no need to derive gradient calculation manually) •efficient in large -scale training and inference oautomatically scale to data and model size oautomatic hardware acceleration5Deep Learning Frameworks (also for LLMs)•Formulate machine learning computation using data flow graphs (data moving around a computation graph) •TensorFlow is an interface for expressing machine learning algorithms and an implementation for executing such algorithms •PyTorch is a programming framework for tensor computation, deep learning, and auto differentiation 6Deep Learning Programming Framework7Aspect PyTorch TensorFlow JAX NumPy Primary Use Deep learning Deep learningnumerical and ML computingnumerical computing Programming', '3Warp 4SM partition1•Basic CUDA operations omemory allocation odata movement ocreating threads and running on SMs ▪specifying number of threads and number of blocks in a grid oreferring to data in GPU memory within a thread ▪using building index variables to refer to the data •Implementing parallel matrix operations on GPUs opartition the data and computation and assign to threads 3Recap•Learning algorithm for Neural Network •Computation Graph •Auto Differentiation 4Today’s Topic •Neural network layers oEmbedding (lookup table) oLinear oRelu oAverage pooling oSoftmax 5A Simple Feedforward Neural Network LinearReluLinearSoftmax Embedding “It is a good movie”Avg•𝑥𝑛,𝑦𝑛 are data and label pairs for training']",1.0,0.3333333333333333,0.5,1,0.125,1.0,0.2222222222222222,0.31772809292028686,0.21067415730337077,0.5012820512820513,3,0.1420161590837385,0.0,0.0,0.3333333333333333,1.0
"What are FlashMLA, DeepEP, and DeepGEMM, and what problems do they each solve?",single,"Accelerating Transformer Layers•FlashMLA  (released 2/24/2025) FlashMLA  is an efficient MLA decoding kernel for Hopper GPUs, optimized for variable -length sequences serving. DeepEP  (released 2/25/2025) oa communication library tailored for Mixture -of-Experts ( MoE) and expert parallelism (EP). It provides high -throughput and low -latency all -to-all GPU kernels, which are also as known as MoE dispatch and combine. DeepGEMM  (released 2/26/2025) oDeepGEMM  is a library designed for clean and efficient FP8 General Matrix Multiplications (GEMMs) with fine -grained scaling 3Deepseek  opensource libraries",1,3,"['Operators that can be reused in Other Networks: Dropout, LayerNorm , Softmax , Cross Entropy hierachical auto-regressive search for large vocabulary converting sorting to parallel operations (max, filter, re -rank)Accelerating decodingRecap: Accelerating Transformer Layers•FlashMLA (released 2/24/2025) oFlashMLA is an efficient MLA decoding kernel for Hopper GPUs, optimized for variable -length sequences serving. •DeepEP (released 2/25/2025) oa communication library tailored for Mixture -of-Experts ( MoE) and expert parallelism (EP). It provides high -throughput and low -latency all -to-all GPU kernels, which are also as known as MoE dispatch and combine. •DeepGEMM (released 2/26/2025) oDeepGEMM is a library designed for clean and', 'parameters in Mixtral 8x7B model? •56B? •47B! osince only FFN layers act are experts, the other parameters (attention, embedding) are shared 11Parameters of MoEDanger of MoE over-fitting to small data 12 •Encoder experts tend to specialize in token groups or shallow concepts (e.g., punctuation, proper nouns). •Decoder experts exhibit less specialization. •In multilingual setups, experts do not specialize in specific languages due to token routing and load balancing.What does an Expert network learn? 13•KeepTop1 with 3 routing experts (finding linear boundaries among expert centroids) 14Geometric Interpretation of Expert Routing•Transformer Mixture -of-Expert Model oSwitch Transformer architecture oShared -routed Experts •Training and', 'task. At the concert, three agents are collaborating to perform in a band. Outdoors, two agents are discussing lantern-making, planning the required materials, and finances by selecting and using tools. Users can participate in any of these stages of this social activityThe use cases for LLM agents, or Language Model-based agents, are vast and diverse. These agents, powered by large language models (LLMs), can be used in various scenarios, including:1.Single-agent applications2.Multi-agent systems3.Human-Agent cooperationCategory https://gptpluginz.com/llm-agents/LLM agents can be utilized as personal assistants to assist users in breaking free from daily tasks and repetitive labor. They can analyze, plan, and solve problems']",1.0,0.3333333333333333,0.5,1,0.23529411764705882,1.0,0.38095238095238093,0.3288824422795987,0.08748317631224764,0.668918918918919,3,0.19984889314057436,1.0,1.0,0.3333333333333333,1.0
What are the challenges of theoretical distributed training (PipeDream) and what is the scaling efficiency of distributed real-world Trainium performance (HLAT)?,multi,"('Challenge 1: Stage Partitioning•How to partition model layers into the stages evenly? •Throughput depends on the slowest stage in pipeline •Solution: •Proﬁle layer-wise perf and comm perf •Allows a stage to be replicated (DP) •Uses dynamic programming to ﬁnd optimal partition and layer replication', 'Challenge 2: Work Scheduling•How to schedule forward and backward computation on a worker? •Solution: 1F1B-RR •Run one forward and one backward •Round-robin across replicated stages', 'Challenge 3: Weight Versioning•How to ensure the same minibatch uses the same weight version across workers for forward and backward? •Otherwise computation will be far oﬀ and training not able to converge •Solution: Store multiple weight versions so that the backward and forward of the same minibatch •Weights across workers can be diﬀerent!', 'The scaling efficiency for Llama2 7b:•87% on 32 nodes. MFU = 33.5%•72% on 64 nodes. MFU = 27.9%© 2025, Amazon Web Services, Inc. or its affiliates. All rights reserved. Amazon Confidential and Trademark. Observations on training precision for 70B (preliminary)')",4,3,"['All rights reserved. Amazon Confidential and Trademark. Intermediate Performance, cont’d 18•For Commonsense Reasoning, the model accuracy improves quickly at beginning of training, and starts to saturate at later training stages. This is similar as the trends observed in other LLM model trainings•For Math task (GSM8K), the learning curve shows an exponentially increasing trend. It increase very gradually for the initial ~1 trillion tokens and begins to improve significantly during the later stages of training•For World Knowledge task, the performance increases almost linearly with number of training tokens•May related to close-book testing problem•Those observations indicate the necessity of a set of', 'review the basics of GPU memory and execution hierarchy, and then introduce our Merge-Q technique, which significantly improves the kernel’s efficiency while allowing more fine-grained customization of the sparse attention. 3.1 P RELIMINARIES GPU threads have access to a hierarchy of different types of memory. Global high-bandwidth memory (HBM ) is the slowest but largest (roughly >100×in latency and ∼6K×in size). Shared memory (SRAM ) is physically on chip, thus has larger bandwidth and lower latency compared to HBM. Optimizing the computation of the SRAM and minimizing the IO between HBM and SRAM are crucial for improving the efficiency of', 'and then flattens and shards all of the parameters within each unit. The sharded parameters are communicated and recovered on-demand before computations, and then they are im- mediately discarded afterwards. This approach ensures that FSDP only needs to materialize parameters from one unit at a time, which significantly reduces peak memory consumption. The design and implementation of FSDP faces the following challenges. •User Experience is critical for achieving broad adoption. When working on prior PyTorch distributed training fea- tures such as DistributeDataParallel (DDP) [ 14], we observed that aligning the user experience of distributed training with that of local training']",0.25,0.0,0.0,1,0.125,0.15384615384615385,0.13793103448275862,0.1546036221682112,0.13828238719068414,0.1633281972265023,3,0.031680055107902144,0.0,0.25,0.0,0.25
What are the three core components of the TinyServe system?,single,"The system is organized around three core components: (1)Query-Aware KV Retriever: Dynamically selects relevant key-value blocks at decode time based on the current query vector and page-level metadata, reducing unnecessary mem- ory access. (2)Modular Scheduling Pipeline: A dispatch loop handles incoming queries and routes them through configurable plug- ins (e.g., entropy-based early exit, token-level pruning, ap- proximate attention). This modular design allows experimen- tation with different sparsity strategies without modifying the core model. (3)Sparse Attention Executor: Efficiently computes attention over selected KV pages using fused CUDA kernels, with support for FP16/INT8 KV formats and multi-GPU dispatch.",1,3,"['training. These works emphasize that carefully designed synthetic stressors and caching strategies are essential for both graph-based and language-based workloads, re- inforcing the importance of lightweight analysis frameworks. 3 Methodology 3.1 System Overview: TinyServe TinyServe is a lightweight serving framework designed for serving tiny language models under tight memory and latency constraints. Rather than acting as a benchmarking tool, TinyServe serves as a real-time serving environment that enables sparsity-aware atten- tion, modular token selection, and efficient KV-cache reuse. The system is organized around three core components: (1)Query-Aware KV Retriever: Dynamically selects relevant key-value blocks at decode time based on the', 'only materializes unsharded parameters and gradients of one unit at a time, and otherwise, it keeps parameters and gradients sharded. Throughout the training loop, the optimizer states are kept sharded. The memory requirements for FSDP are proportional to the size of the sharded model plus the size of the largest fully-materialized FSDP unit. Figure 1 demonstrates the overall workflow using a simple six layer model. Suppose FSDP decomposes the model into three parts, namely, [layer0, layer3] ,[layer1, layer2] , and [layer4, layer5] . The decomposition behavior can be controlled by user-defined func- tions. FSDP then wraps each of these three', 'Language Model 2bridges corn0.6 0.02 𝑃(𝑥𝑡|𝑥<𝑡) Decoder [BOS] Pgh is a city ofPgh is a city ofTransformerGPT1GPT2GPT3GopherPALMGPT4 Nemotron LLaMA3 -8BLLaMA3.1 Qwen2DeepSeek -v3 001101001,00010,000 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025size(B) 3Recap: Scaling of LLMs (the need for system optimization)•Programming model orelies on good abstraction •Latency/Throughput oData movement oComputation •Reliability •Security 4Recap: Important Topics in LLM systems•Neural Network Layer and low -level operators •Components of A GPU Server •GPU Architecture •Program Execution on GPU 5Outline Classifying the sentiment of online movie reviews. (Positive, negative, neutral) 6Text Classification Spider -Man is an almost -perfect extension of the experience of']",0.0,0.3333333333333333,0.0,0,0.07142857142857142,0.25,0.11111111111111112,0.18680819082215905,0.1694915254237288,0.2074468085106383,3,0.07640250495533615,1.0,0.0,0.3333333333333333,0.0
What are the trade-offs between simple post-training quantization and GPTQ?,multi,"('8CUDA APIs for Half Precision•Using lower precision oconverting parameters from FP32 to INT8 or INT4 operform all computation in lower prevision. Reduce model accuracy: oLoss of Precision ➔ accumulate quantization noise oRange mismatch ➔ values are clipped and lead to information loss oQuantization error ➔ rounding errors 9Direct Quantization Approach•Absmax  quant Zero -point quant 10Quantize a number', 'mixed strategy for 8 -bit quantization and 16 -bit (for outliers)2Recap of Basic Quantization Methods•Absmax  quant Zero -point quant 4Quantize a Number to Int8 5GPTQ scale to GPT -size LLMs maintain accuracy•Revisit  layer -wise quantization of weight matrices argmin', 'layer -wise quantization + compensation for errors + precompute oaccurately compress some of the largest publicly -available models down to 3 and 4 bits, and bring end -to-end speedups')",3,3,"['compared with accurate -but-expensive methods? 29 Fastest prior method•https://github.com/qwopqwop200/GPTQ -for-LLaMa/ •GPTQ in ohttps://github.com/qwopqwop200/GPTQ -for- LLaMa/blob/triton/gptq.py 31GPTQ for LLaMAGPTQ: Initialization 32 ●Reshape weights from the input layer ●Initialize Hessian matrixGPTQ: Hessian Matrix Update 33●Update Hessian matrix with information from a new batch of the input and output pairs GPTQ: Lazy Batch -Update 34 ●Processes weight matrix W in blocks. ●Updates quantization parameters conditionally based on group size and static grouping settings.GPTQ: Lazy Batch -Update 35 ●Applies quantization function quantize to weights and computes the loss due to quantization. ●Adjusts remaining block weights based on quantization error to minimize the overall error.GPTQ:', 'and round the inputs X_quant = torch .clip((X * scale + zeropoint ).round (), -128, 127) # Dequantize X_dequant = (X_quant - zeropoint ) / scale return X_quant .to(torch .int8), X_dequanthttps://colab.research.google.com/drive/1DPr4mUQ92Cc - xf4GgAaB6dFcFnWIvqYi?usp=sharing 12Direct Quantization Colab13Today’s Topic •Low precision numbers in computer •Basic Quantization Methods Model Quantization Approaches 14Quantization during training post trainingexpensive re -training / finetuning Model Quantization Approaches 15Quantization during training post trainingpreserve accuracy scale to large parametersBRECQ (Li et al., 2021)AdaQuant (Hubara et al., 2021) OBQ (Frantar et al., 2022) ZeroQuant (Yao et al., 2022) LLM.int8() (Dettmers et al., 2022)Model Quantization Approaches 16Quantization during training post trainingpreserve', 'obtain TTFT values in the end-to-end scenario, the attacker first clears both the victim’s and the attacker’s requests from the cache. Next, the attacker measures the TTFT for their own request after the victim’s system prompt has been cached. Below, we describe how the TTFT is gathered and how caches are flushed. •Timing measurement . As shown in Figure 5, the attacker begins by issuing a synthesized request containing the targeted system prompt. Once the end-of-sequence token is received in the POST response, a short delay is introduced, ensuring the system prompt resides in the KV cache. The attacker then']",0.0,0.0,0.0,0,0.0,0.0,0.0,0.14053149191631473,0.1040650406504065,0.16165413533834586,3,3.23732730710566e-07,0.0,0.0,0.0,0.0
What does “IO-aware” mean in the context of FlashAttention?,single,"In this paper, we argue that a missing principle is making attention algorithms IO-aware [1]—that is, carefully accounting for reads and writes to diﬀerent levels of fast and slow memory (e.g., between fast GPU on-chip SRAM and relatively slow GPU high bandwidth memory, or HBM [ 45], Figure 1 left).",1,3,"['we plot of the validation perplexity throughout training of GPT-2 small/medium, using either HuggingFace implementation or our FlashAttention implementation. We see that FlashAttention be- haves the same as the baseline implementation and the validation perplexity curves of the two implementations almost lie on top of each other. Long Document Classiﬁcation. For MIMIC-III and ECtHR, we follow the hyperparameters of Dai et al. [13]. 26100k 200k 300k Training steps1015202530Val perplexityGPT-2-small HuggingFace GPT-2-small FlashAttention GPT-2-medium HuggingFace GPT-2-medium FlashAttentionFigure 4: Validation perplexity of GPT-2 small/medium using two implementations. We conﬁrm that FlashAttention yields the same validation curves as the baseline implementation from HuggingFace.', 'the dense model. This observation works as an initial validation of the context understanding ability of the HHST design. We’ll further validate it in the long context continual training section. We also found adding two dense layers generally leads to a significantly higher performance. Within theHomogeneous group, we can observe adding attention sink can significantly boost training quality, compared to only using the sliding window (SWA). In the Heterogeneous & Incomplete group, the vertical stride size is bigger than the number of attention heads, making the context incomplete after the union. For the Heterogeneous & Complete group, we tune the', 'linear model. This approximation is reasonable as the time complexity of the linear transformation is proportional to the sequence length of request 𝑖. The coefficient𝜌in Eq. 6 can be determined before activating the serving pipeline, involving a marginal preprocessing cost of approximately 30 seconds in practice. In this way, the request manager can estimate the extra cost by any amount of hidden cache usage during serving. Additionally, the quantification model incorporates an SLO-aware fallback mechanism. For a given request 𝑖in the inference iteration 𝑒, its tracked pending time p𝑒 𝑖may exceed the latency SLOs. Including such a request in the']",0.0,0.0,0.0,0,0.0,0.0,0.0,0.13854949379582507,0.10518292682926829,0.15756035578144853,3,2.0989457062731966e-07,0.0,0.0,0.0,0.0
